Current MS Compounds,QC(I)#1,QC(I)#2,QC(I)#3,QC(I)#4,QC(I)#5,QC(I)#6,QC(I)#7,QC(I)#8,QC(S)#1,QC(S)#2,QC(S)#3,QC(S)#4,QC(S)#5,QC(S)#6,QC(S)#7,QC(S)#8
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,138730,127893,135949,122222,126810,123237,133714,118588,43874,35086,37255,34526,35650,40891,41992,35730
Aminoacetone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,607392,626828,651367,588836,596183,578611,559467,553867,110193,102328,110750,89096,83501,101269,104224,100692
Trimethylamine-N-Oxide (TMAO),969091,957084,993970,933547,1050764,1014229,1045661,1040299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Putrescine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108558,101618,101033,109154,103766,108307,102679,102897
betaAlanine,143118,140117,154356,145043,136551,120272,120123,134616,10064632,10293499,10227904,9521344,9653168,9543850,9411819,9164535
Alanine,8185411,8330048,8272213,7885443,8015970,7684320,7784936,7568038,3226772,3252330,3205692,3077064,3018896,3047771,3037750,2967976
Sarcosine,41889,41952,34879,36518,32018,34733,31278,39035,53473,55028,57046,56275,57226,60116,56531,58517
Betaine Aldehyde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Aminoisobutyrate,45625,44597,46918,43831,41361,41091,42786,41528,56987,56766,60109,47672,49367,45196,44136,47188
Choline,57517949,56331251,56678483,50944262,50426492,50235497,49852313,48057634,23153501,23340633,22321856,23741245,23233129,22717666,22767889,22373124
Dimethylglycine,184112,197506,186816,189804,168535,175283,184553,171719,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-2-Aminobutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8586,8761,9668,9702,10116,9010,9757,10322
2-Aminoisobutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2406453,2489439,2352512,2193392,2108110,2178587,2048475,2069913
Serine,9281734,9517312,9008773,8925512,8585352,8904933,9026732,8909771,5898173,5906240,6064467,5803629,5735930,5756528,5634587,5576658
Hypotaurine,95224,86862,95375,96412,87469,85024,93780,81843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cytosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9931779,9711723,9861797,8696544,8510154,8096525,8175877,8128401
Creatinine,13238778,13458943,13505078,12147927,11902167,12015689,12164299,12022339,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"5,6-Dihydrouracil",1251057,1357958,1316263,1188245,1241654,1275979,1212925,1211138,240285,223194,247040,225137,221703,211995,231979,242141
Proline,9962842,10118784,9910699,8728570,8749132,8899808,8892383,8839339,60811087,61071340,60838392,54495035,55670787,55080425,54251123,55432411
5-Aminovaleric Acid,136676,139153,140931,140310,104905,117802,123544,117856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Betaine,81888971,82620409,81234741,88187835,89521073,89505877,88466451,87428419,36741012,36660404,34510208,33412266,35340009,37339262,34594015,36144689
Valine,6069684,6182881,5759335,5973821,5769980,5902143,5742493,5760112,959578,975836,914766,878933,846909,882530,868369,861576
Indole,8794,7458,8676,8872,7893,7168,7344,8338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threonine,8954561,8955556,9055013,8419255,8625332,8250039,8452192,8317066,1601094,1544400,1580004,1410229,1463924,1455624,1447358,1440392
Cysteine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Niacinamide,147543,140474,133035,146058,129534,136725,142442,142120,539676,512815,526615,485383,479501,463473,492415,473181
Taurine,3762396,3841420,3646664,3264498,3548992,3310434,3246114,3223577,14537954,14453699,14348644,13927548,13638006,13431533,13500929,12822653
