vial,SepDate,Separation,Climbing 
1,6/24/2021,R,4
2,6/24/2021,B,5
3,6/24/2021,K,3
4,6/24/2021,K,6
5,6/24/2021,B,3
6,6/24/2021,P,1
7,6/24/2021,R,3
8,6/24/2021,R,6
9,6/24/2021,B,6
10,6/24/2021,K,1
11,6/24/2021,R,4
12,6/24/2021,P,6
13,6/24/2021,R,1
14,6/24/2021,K,4
15,6/24/2021,K,3
16,6/24/2021,B,5
17,6/24/2021,P,4
18,6/24/2021,B,4
19,6/24/2021,B,1
20,6/24/2021,P,4
21,6/24/2021,B,2
22,6/24/2021,K,4
23,6/24/2021,R,5
24,6/24/2021,K,2
25,6/24/2021,P,5
26,6/24/2021,R,3
27,6/24/2021,P,3
28,6/24/2021,P,2
29,6/24/2021,B,4
30,6/24/2021,K,5
31,6/24/2021,P,3
32,6/24/2021,R,2
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,NA,NA,NA
38,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,NA,NA,NA
49,NA,NA,NA
50,NA,NA,NA
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,NA
54,NA,NA,NA
55,NA,NA,NA
56,NA,NA,NA
57,7/8/2021,B,4
58,7/8/2021,P,1
59,7/8/2021,K,6
60,7/8/2021,R,5
61,7/8/2021,G,3
62,7/8/2021,P,2
63,7/8/2021,G,6
64,7/8/2021,P1,2
65,7/8/2021,G,1
66,7/8/2021,G1,6
67,7/8/2021,G1,1
68,7/8/2021,P1,5
69,7/8/2021,R,3
70,7/8/2021,P1,6
71,7/8/2021,R,1
72,7/8/2021,G1,4
73,7/8/2021,B,3
74,7/8/2021,P1,1
75,7/8/2021,P1,3
76,7/8/2021,B,6
77,7/8/2021,K,1
78,7/8/2021,P,5
79,7/8/2021,P,6
80,7/8/2021,G,5
81,7/8/2021,B,5
82,7/8/2021,G1,2
83,7/8/2021,P,3
84,7/8/2021,R,2
85,7/8/2021,P,4
86,7/8/2021,P1,6
87,7/8/2021,B,6
88,7/8/2021,B,2
89,7/8/2021,P1,4
90,7/8/2021,G,2
91,7/8/2021,R,6
92,7/8/2021,K,4
93,7/8/2021,K,5
94,7/8/2021,K,2
95,7/8/2021,G1,6
96,7/8/2021,R,6
97,7/8/2021,G1,3
98,7/8/2021,B,1
99,7/8/2021,G,4
100,7/8/2021,R,4
101,7/8/2021,G,6
102,7/8/2021,G1,5
103,7/8/2021,P,6
104,7/8/2021,K,6
105,7/8/2021,K,3
106,NA,NA,NA
107,NA,NA,NA
108,NA,NA,NA
109,NA,NA,NA
110,NA,NA,NA
111,NA,NA,NA
112,NA,NA,NA
113,NA,NA,NA
114,NA,NA,NA
115,NA,NA,NA
116,NA,NA,NA
117,NA,NA,NA
118,NA,NA,NA
119,NA,NA,NA
120,NA,NA,NA
121,NA,NA,NA
122,NA,NA,NA
123,NA,NA,NA
124,NA,NA,NA
125,NA,NA,NA
126,NA,NA,NA
127,NA,NA,NA
128,NA,NA,NA
129,NA,NA,NA
130,NA,NA,NA
131,NA,NA,NA
132,NA,NA,NA
