COMPOUND,HMDB ID,KEGG ID,101,19,80,32,23,104,84,59,105,62,82,94,85,31,92,21,9,10,76,86,64,24,89,98,93,4,6,60,83,65,73,12,66,99,58,95,69,97,67,8,100,78,13,7,29,28,88,96,68,91,77,71,25,87,74,1,61,81,103,30,72,20,102,14,75,70,90,57,63,2,15,5
Trimethylamine (TMA),HMDB00906,C00565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,HMDB00149,C00189,32385,39320,58598,8257,17899,27374,47821,25159,15968,15268,25449,45558,6198,39458,13055,55584,53883,50711,69582,41921,50816,53929,51242,69022,24102,42638,33422,47019,25399,55703,39504,50052,20868,54694,24776,16566,58611,14105,3711,16359,52569,23113,12570,12996,66739,32086,52598,72868,70367,51721,34966,51207,53409,48054,26780,23974,48847,37472,5704,45796,22914,36082,18382,55203,53584,52473,38265,39882,45825,29648,35469,44813
Aminoacetone,HMDB02134,C01888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,HMDB01522,C02294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,HMDB00123,C00037,93786,117095,109567,94981,102814,95045,112321,78729,82799,79488,61897,108407,108218,116262,107380,104188,141110,107136,121141,93761,87585,114212,97686,110421,67786,109027,117015,88051,80738,109291,107297,123330,97485,93996,87073,79826,128952,85926,97028,75040,105785,98583,105161,86875,111790,99637,85049,89043,107293,102835,84798,108889,131958,111544,84547,100932,100859,72357,47073,105620,73803,129973,81091,129140,98410,87794,85090,67548,85036,83339,93250,116149
Trimethylamine-N-Oxide (TMAO),HMDB00925,C01104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Putrescine,HMDB01414,C00134,122083,103950,152043,121976,200237,95301,153509,57007,115913,106631,78967,103776,80721,139032,117748,120727,141166,163733,225781,72318,82585,169593,60053,127677,68780,69072,135671,153652,46665,103090,88665,99685,63348,76288,110699,88292,80909,59460,49901,37530,118152,87012,96532,99227,96225,146148,96734,155745,61484,73340,93287,59706,124401,105129,126682,118907,124465,89962,71017,133239,115072,156961,56594,105934,89826,86183,76537,54554,117716,115681,88678,114617
betaAlanine,HMDB00056,C00099,9982997,12175413,9464401,11788764,11543893,9387480,12107169,9423731,9360181,8873189,7804741,10128559,9712143,12069668,11066107,13027464,14070343,12706811,9979939,8388660,7779994,10793421,8970540,8985734,6785243,10994676,12037527,10064311,7848213,10078459,9839453,12916239,9499087,9162948,8728545,10282680,7994140,8026005,9367658,6021633,10016194,8337267,11587955,8393041,12201185,11450450,8874226,8825952,9517026,9908699,9058005,8814762,11875266,9455669,9100839,9958317,8095243,8767640,4016510,10607696,9113454,9816088,7791194,10469252,10983956,8391375,7726324,6310941,8973291,7893954,12108994,10973854
Alanine,HMDB00161,C00041,3937434,3752554,2697045,3188201,3188497,3857042,3243519,3891210,2483805,2338353,2487501,2653349,2814960,3881284,3341365,3343290,5400886,3079221,3308896,3152823,1992843,3446843,2343660,2842800,2181538,4446403,2873161,2839077,2745458,2790691,2432330,3901623,2792538,2227832,2842671,3933919,2523744,2679715,2587488,2509262,2903582,2766172,2823702,2784369,3138233,3731619,2703643,2994115,2311932,2685324,2557405,2365632,3388522,3442227,2452879,2388967,2347209,2612163,2239079,2887845,2507180,2865377,2541245,2698179,2558763,3299104,2139631,1807475,3108481,2513467,3399535,3206357
